#NAME,Group,Week
X21w_S1,OP,21
X21w_S2,OR,21
X21w_S3,OR,21
X21w_S4,OR,21
X21w_S5,OR,21
X21w_S6,OP,21
X21w_S7,OP,21
X21w_S8,OR,21
X21w_S9,OP,21
X21w_S10,OP,21
X21w_S11,OR,21
X21w_S12,OR,21
X21w_S13,OP,21
X21w_S14,OP,21
X21w_S15,OP,21
X21w_S16,OP,21
X21w_S17,OR,21
X21w_S18,OR,21
X21w_S19,OR,21
X21w_S20,OP,21
X19w_S1,OP,19
X19w_S2,OR,19
X19w_S3,OR,19
X19w_S4,OR,19
X19w_S5,OR,19
X19w_S6,OP,19
X19w_S7,OP,19
X19w_S8,OR,19
X19w_S9,OP,19
X19w_S10,OP,19
X19w_S11,OR,19
X19w_S12,OR,19
X19w_S13,OP,19
X19w_S14,OP,19
X19w_S15,OP,19
X19w_S16,OP,19
X19w_S17,OR,19
X19w_S18,OR,19
X19w_S19,OR,19
X19w_S20,OP,19
X10w_S1,OP,10
X10w_S2,OR,10
X10w_S3,OR,10
X10w_S4,OR,10
X10w_S5,OR,10
X10w_S6,OP,10
X10w_S7,OP,10
X10w_S8,OR,10
X10w_S9,OP,10
X10w_S10,OP,10
X10w_S11,OR,10
X10w_S12,OR,10
X10w_S13,OP,10
X10w_S14,OP,10
X10w_S15,OP,10
X10w_S16,OP,10
X10w_S17,OR,10
X10w_S18,OR,10
X10w_S19,OR,10
X10w_S20,OP,10
X7w_S1,OP,7
X7w_S2,OR,7
X7w_S3,OR,7
X7w_S4,OR,7
X7w_S5,OR,7
X7w_S6,OP,7
X7w_S7,OP,7
X7w_S8,OR,7
X7w_S9,OP,7
X7w_S10,OP,7
X7w_S11,OR,7
X7w_S12,OR,7
X7w_S13,OP,7
X7w_S14,OP,7
X7w_S15,OP,7
X7w_S16,OP,7
X7w_S17,OR,7
X7w_S18,OR,7
X7w_S19,OR,7
X7w_S20,OP,7
X5w_S1,OP,5
X5w_S2,OR,5
X5w_S3,OR,5
X5w_S4,OR,5
X5w_S5,OR,5
X5w_S6,OP,5
X5w_S7,OP,5
X5w_S8,OR,5
X5w_S9,OP,5
X5w_S10,OP,5
X5w_S11,OR,5
X5w_S12,OR,5
X5w_S13,OP,5
X5w_S14,OP,5
X5w_S15,OP,5
X5w_S16,OP,5
X5w_S17,OR,5
X5w_S18,OR,5
X5w_S19,OR,5
X5w_S20,OP,5
