#NAME,X21w_S1,X21w_S2,X21w_S3,X21w_S4,X21w_S5,X21w_S6,X21w_S7,X21w_S8,X21w_S9,X21w_S10,X21w_S11,X21w_S12,X21w_S13,X21w_S14,X21w_S15,X21w_S16,X21w_S17,X21w_S18,X21w_S19,X21w_S20,X21w_8_1,X21w_8_2,X21w_8_3,X21w_8_4,X21w_8_5,X19w_S1,X19w_S2,X19w_S3,X19w_S4,X19w_S5,X19w_S6,X19w_S7,X19w_S8,X19w_S9,X19w_S10,X19w_S11,X19w_S12,X19w_S13,X19w_S14,X19w_S15,X19w_S16,X19w_S17,X19w_S18,X19w_S19,X19w_S20,X19w_8_1,X19w_8_2,X19w_8_3,X19w_8_4,X19w_8_5,X10w_S1,X10w_S2,X10w_S3,X10w_S4,X10w_S5,X10w_S6,X10w_S7,X10w_S8,X10w_S9,X10w_S10,X10w_S11,X10w_S12,X10w_S13,X10w_S14,X10w_S15,X10w_S16,X10w_S17,X10w_S18,X10w_S19,X10w_S20,X10w_8_1,X10w_8_2,X10w_8_3,X10w_8_4,X10w_8_5,X7w_S1,X7w_S2,X7w_S3,X7w_S4,X7w_S5,X7w_S6,X7w_S7,X7w_S8,X7w_S9,X7w_S10,X7w_S11,X7w_S12,X7w_S13,X7w_S14,X7w_S15,X7w_S16,X7w_S17,X7w_S18,X7w_S19,X7w_S20,X7w_8_1,X7w_8_2,X7w_8_3,X7w_8_4,X7w_8_5,X5w_S1,X5w_S2,X5w_S3,X5w_S4,X5w_S5,X5w_S6,X5w_S7,X5w_S8,X5w_S9,X5w_S10,X5w_S11,X5w_S12,X5w_S13,X5w_S14,X5w_S15,X5w_S16,X5w_S17,X5w_S18,X5w_S19,X5w_S20,X5w_8_1,X5w_8_2,X5w_8_3,X5w_8_4,X5w_8_5
ASV_1,2446,2967,2329,3781,3746,7636,6998,4951,5071,2344,5941,7078,1967,5218,3067,3769,1889,5068,2063,6235,2,19,11,4,4,15236,7331,9099,3531,2576,11578,4157,6078,12776,13753,11090,16648,8111,6213,13703,5029,3320,5915,5630,4051,19,28,78,146,104,8279,8234,7956,3830,8363,9533,6189,6943,5293,5828,2586,8439,4055,7785,4354,7244,2253,6898,4152,6870,0,1,1,9,27,6292,6203,17210,16896,12156,9756,5992,10266,10342,2883,3978,12017,5760,3571,6802,5618,2592,5279,2288,11068,19,361,36,120,146,205,3308,2157,52,6,273,4114,1707,1188,935,5062,916,296,2235,947,3450,1432,134,1574,269,1262,1466,518,1858,488
ASV_4,12118,4210,4281,4199,10143,3549,844,2724,2832,1459,6273,344,5085,1509,1145,3154,7009,3595,4279,4021,748,415,1986,259,933,12704,4764,1655,8445,11692,6763,1925,1725,7023,1812,5895,7384,8859,4115,1893,2913,7580,753,6651,9181,2194,823,1637,900,2045,9815,5975,2868,1781,4839,6095,975,475,2264,818,3620,153,5718,2991,3262,6887,159,2624,4677,765,624,939,172,1422,960,855,2510,6233,576,72,2125,1019,361,166,3739,2998,3232,5561,2540,2693,999,2388,4096,385,334,1334,306,454,147,977,4937,613,1130,2283,4482,10059,2212,2274,3478,2061,3171,1829,7565,1714,1286,1178,1257,952,3236,4037,120,1369,3052,1678,9106
ASV_2,1120,129,8,96,55,42,148,53,41,52,25,166,4880,78,218,83,103,862,1064,3358,27,24,65,36,1,1498,110,21,431,72,69,1640,221,6082,542,305,345,17622,89,1327,320,734,726,2365,381,299,360,101,350,108,5050,271,108,2211,10648,1064,1626,168,335,228,244,602,312,11343,12329,8775,344,130,771,2784,1073,1646,790,3890,861,17789,1235,493,379,27039,13906,13060,9704,2358,2865,7179,5177,14702,8600,9702,12840,15270,10427,884,15972,327,974,2901,404,216,0,2,1,4,0,0,0,10,39,1,7,3,0,29,19,627,119,4,6,60,164,62,21,9,8
ASV_7,5551,1033,1680,2445,2808,996,1293,1000,1129,1561,910,906,1337,1570,1489,2886,2159,1447,1621,2292,225,158,480,110,496,6719,1382,2862,4168,11981,2160,871,1764,2324,2098,342,3122,3374,1819,2386,5248,1082,1100,1211,2169,1517,464,656,281,1904,4481,1335,1927,8577,6356,1796,5593,2262,2754,950,881,456,1058,1803,4934,2348,882,3060,1804,1004,743,213,570,975,1233,8308,1953,2371,4071,2406,4381,6856,2916,1323,2615,417,1697,3334,2260,1494,2830,924,1028,1456,1634,301,74,30,127,259,1453,223,274,102,835,1419,182,85,591,393,125,139,123,384,218,252,437,87,98,1107,64,407,940,194,27
ASV_3,2534,1348,1367,1202,1901,3320,5618,2334,2374,1111,2449,2477,1597,1415,949,3433,2939,2253,1936,3862,4435,1402,2407,1140,444,9362,1140,3410,1792,1000,2612,1545,769,6711,3485,1831,3379,3051,2824,2586,1206,1404,2620,2147,2257,2090,3026,311,1434,384,5025,3851,775,3498,4669,2029,3808,1720,1935,866,1520,1745,1678,3930,1150,4110,554,2371,1506,3953,2098,2777,1265,4676,1592,1333,2145,2671,219,6190,2605,2187,2644,4781,861,1927,4298,1612,1951,833,1943,1868,522,1376,5149,240,1339,6932,3052,571,370,29,1238,187,71,698,195,2365,423,155,288,389,55,1438,2231,1587,190,274,224,350,91,885,520,3360,532
ASV_41,4313,1870,3058,482,2943,2251,1516,1560,1901,1476,1086,1299,535,1201,2073,2938,1948,2120,2016,7275,409,199,350,59,222,5385,1460,977,1008,445,2498,2502,378,7008,946,1130,2072,2302,2798,2041,630,1382,710,1707,3316,750,227,335,171,307,1876,2517,1018,2783,2294,5750,7964,378,744,1199,1887,270,1609,2550,2996,7094,789,4994,5126,3377,246,88,73,238,199,546,558,4856,8658,1640,1371,570,3415,10534,517,2236,7425,3648,10963,931,12001,2717,2947,1453,2451,147,147,272,169,401,883,306,424,446,73,127,234,123,1433,441,223,149,770,410,171,817,316,109,336,972,245,306,261,204,398
ASV_5,2721,678,707,220,752,2071,1145,203,596,5477,932,1596,1557,3123,3897,2203,124,518,820,1037,5,2,5,0,0,10943,1820,1512,721,1420,1094,416,368,1445,3857,989,1939,1544,1610,5344,3982,624,1641,358,400,7,5,26,43,13,2279,2926,1691,2455,2061,2126,3670,2707,1152,4402,6800,6492,3291,2285,520,1139,3869,1155,1465,3314,0,0,0,1,27,2494,1538,5721,6409,2634,2591,2097,2380,4398,1615,3217,7299,3091,1727,3298,3920,1320,866,5119,2919,14,7,24,44,131,0,0,0,0,0,0,0,0,0,1,0,9,5,34,0,1,0,0,0,36,0,0,0,0,0
ASV_8,5159,1217,1496,1150,2222,1501,4049,1050,1035,774,1720,3386,2694,1090,1123,1727,2053,1217,1506,1786,138,130,255,56,207,3906,1573,3555,1899,4553,1206,875,996,2578,1887,1179,2245,3719,1917,2250,907,2451,1710,3924,1563,406,248,324,223,755,1847,1514,1575,1543,1450,1380,929,624,1148,1590,6486,639,3256,3538,2898,3685,1401,1605,3617,872,147,251,86,232,550,1435,1657,5587,4263,2389,1753,214,885,2142,4591,4342,6358,13395,2972,2069,3683,7041,1634,2029,1428,163,183,435,150,1206,807,198,210,447,1806,850,448,339,213,248,152,215,491,194,151,577,86,163,96,667,217,387,354,186,239
ASV_13,4022,444,1407,4744,7895,3091,2499,4224,1249,607,595,1680,1771,321,248,598,328,816,804,357,5,3,4,10,2,2455,1195,1310,2519,1080,2870,1084,735,136,361,176,531,743,291,1131,315,1000,431,808,1111,8,6,20,9,17,589,783,3498,1275,1062,2172,1420,2926,557,748,2396,1145,2341,4024,3414,2547,3529,3318,3114,4313,2,0,0,0,13,996,507,1999,2767,1019,2757,1405,2307,499,971,1780,1553,1211,2245,2364,2226,2336,946,2626,4392,1,1,3,9,28,60,28,9,1675,13319,245,25,2,0,4,69,28,89,20,8,8,592,2155,1196,2713,13,11,13,8,48
ASV_102,164,152,160,264,124,386,1407,353,1449,1170,525,138,860,857,74,354,1034,1232,1474,567,32,35,40,49,6,896,303,984,239,428,1231,936,2597,1661,8796,731,1765,4647,2047,420,1550,3554,4964,3707,366,81,150,122,198,90,2058,1965,3105,2718,1949,2243,2179,2093,2042,2136,3969,6916,4972,2291,3418,1623,4636,2410,3569,2651,4,3,40,5,107,244,284,2201,3554,7324,416,1949,433,894,870,819,342,492,1773,2968,1035,842,1043,1587,3137,18,15,144,118,73,0,1,7,0,0,8,0,7,8,56,34,219,1,12,16,97,33,0,0,9,16,8,2,7,1
